company,company_position,degreeNeed,jobName,job_Description,publishedTime,salary,serialNumber,workExperience
新华网股份有限公司,北京,硕士,自然语言处理算法研究员(新华网),,,20000-25000,,不限
,,,自然语言处理算法研究员(新华网),,,20000-25000,,
,,,,,,,,
,,,,,,20000-25000,,
,,,,,,,,
新华网股份有限公司,北京,硕士,,,,,,不限
新华网股份有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
知识产权出版社有限责任公司,北京,本科,自然语言处理工程师,,,5000-8000,,不限
,,,自然语言处理工程师,,,5000-8000,,
,,,,,,,,
,,,,,,5000-8000,,
,,,,,,,,
知识产权出版社有限责任公司,北京,本科,,,,,,不限
知识产权出版社有限责任公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
联想(北京)有限公司,北京,硕士,自然语言处理(NLP)研究员(Lenovo),,,12000-20000,,1-3年
,,,自然语言处理(NLP)研究员(Lenovo),,,12000-20000,,
,,,,,,,,
,,,,,,12000-20000,,
,,,,,,,,
联想(北京)有限公司,北京,硕士,,,,,,1-3年
联想(北京)有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
中国电子科技集团公司第十五研究所（华北计算技术研究所）,北京,不限,自然语言处理NLP高级工程师,,,12000-20000,,不限
,,,自然语言处理NLP高级工程师,,,12000-20000,,
,,,,,,,,
,,,,,,12000-20000,,
,,,,,,,,
中国电子科技集团公司第十五研究所（华北计算技术研究所）,北京,不限,,,,,,不限
中国电子科技集团公司第十五研究所（华北计算技术研究所）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
链家网（北京）科技有限公司,北京,硕士,自然语言处理算法(链家网（北京）科技有限公司),,,35000-70000,,3-5年
,,,自然语言处理算法(链家网（北京）科技有限公司),,,35000-70000,,
,,,,,,,,
,,,,,,35000-70000,,
,,,,,,,,
链家网（北京）科技有限公司,北京,硕士,,,,,,3-5年
链家网（北京）科技有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
腾讯,北京,不限,北京TEG11自然语言处理研究员北京,,,30000-45000,,5-10年
,,,北京TEG11自然语言处理研究员北京,,,30000-45000,,
,,,,,,,,
,,,,,,30000-45000,,
,,,,,,,,
腾讯,北京,不限,,,,,,5-10年
腾讯,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
北京猎户星空科技有限公司,北京,硕士,自然语言处理语义理解(北京猎户星空科技有限公司),,,25000以上,,3-5年
,,,自然语言处理语义理解(北京猎户星空科技有限公司),,,25000以上,,
,,,,,,,,
,,,,,,25000以上,,
,,,,,,,,
北京猎户星空科技有限公司,北京,硕士,,,,,,3-5年
北京猎户星空科技有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
深圳达闼科技控股有限公司,北京,硕士,自然语言处理算法工程师,,,25000以上,,不限
,,,自然语言处理算法工程师,,,25000以上,,
,,,,,,,,
,,,,,,25000以上,,
,,,,,,,,
深圳达闼科技控股有限公司,北京,硕士,,,,,,不限
深圳达闼科技控股有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
大鱼快乐有限公司,北京,硕士,自然语言处理类算法专家-搜索算法技术(大鱼快乐有限公司),,,30000-45000,,不限
,,,自然语言处理类算法专家-搜索算法技术(大鱼快乐有限公司),,,30000-45000,,
,,,,,,,,
,,,,,,30000-45000,,
,,,,,,,,
大鱼快乐有限公司,北京,硕士,,,,,,不限
大鱼快乐有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
北京三星通信技术研究有限公司,北京,硕士,自然语言处理算法工程师,,,15000以上,,1-3年
,,,自然语言处理算法工程师,,,15000以上,,
,,,,,,,,
,,,,,,15000以上,,
,,,,,,,,
北京三星通信技术研究有限公司,北京,硕士,,,,,,1-3年
北京三星通信技术研究有限公司,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
